Zone,Coastguard,CRT_Mnemno,CRO_Complement,CRO_Comp_1,Search,Rope,Mud,Enhanced,Water,Vehicle,Estate,Lat,Long,Notes
8,Cleethorpes,CPSCRT,11,11,Y,N,N,N,Y,Y,"HM Coastguard, Brighton Street, Cleethorpes, DN35 8SE",53.556415,-0.023414, 
10,Mundesley,MUCRT,8,8,Y,Y,N,N,N,Y,"HM Coastguard, The Garage, Pollard Street, Bacton, NR12 0LB",52.841882,1.464677,Co-located and dual page with Happisburgh CRT
10,Happisburgh,HAPCRT,6,6,Y,Y,N,N,N,Y,"HM Coastguard, The Garage, Pollard Street, Bacton, NR12 0LB",52.841882,1.464677,Co-located and dual page with Mundesley CRT
10,Winterton,WTCRT,10,10,Y,Y,N,N,N,Y,"HM Coastguard, Unit 1B, Fairfield Industrial Park, Hemsby Road, Martham, Norfolk, NR29 4QQ",52.704369,1.645486, 
10,Gorleston,GOCRT,5,5,Y,N,N,N,N,Y,"HM Coastguard, Riverside Road, Gorleston, NR31 6PX",52.581407,1.729973, 
10,Lowestoft,LTCRT,9,9,Y,N,N,N,N,Y,"HM Coastguard, 7 Harvest Drive, Gisleham, Lowestoft, NR33 7NJ",52.44813,1.718852, 
10,Southwold,SWDCRT,6,6,Y,N,N,Y,N,Y,"HM Coastguard, 7 Harvest Drive, Gisleham, Lowestoft, NR33 7NJ",52.44813,1.718852,Co-located and dual page with Lowestoft
10,Aldeburgh CRT,ALC,10,10,Y,N,N,N,Y,Y,"Fort Green, Aldeburgh, Suffolk, IP15 5DE.",52.146489,1.600488, 
10,Shingle Street CRT,SIC,0,9,Y,N,N,N,Y,Y,"Portacabin, Grounds of Alexander International School, Bawdsey Manor, Bawdsey, Woodbridge, Suffolk. IP12 3AZ",51.989585,1.399626, 
11,Felixstowe CRT,FXC,0,10,Y,N,Y,N,Y,Y,"31/33 Schneider Close, Carr Road Business Centre, Felixstowe, Suffolk, IP11 3SS",51.948104,1.326882,Based same location as the SCOO
11,Holbrook CRT,HKC,0,7,Y,N,N,N,Y,Y,"CRV located at Royal Harwich Yacht Club, Woolvestone, Ipswich, Suffolk, IP9 1AT",52.005735,1.197619,No CRE
11,Walton CRT,WNC,0,12,Y,Y,Y,N,Y,Y,"MCA Thames, East Terrace, Walton on Naze, Essex, CO14 8PY",51.855022,1.279774,CRT details are what the team should be trained for but currently mud rescue may be transferred to Clacton CRT
11,Clacton CRT,CCC,0,8,Y,N,N,N,Y,Y,"Hastings Avenue, Martello Bay, Clacton on Sea, Essex, CO15 1BW",51.781213,1.141294,CRT details above may have mud rescue added if the competency is moved from Walton CRT
11,Mersea CRT,MEC,0,8,Y,N,N,N,Y,Y,"Unit 5, Rushmere Close, West Mersea, Colchester, Essex, CO5 8QQ",51.777136,0.920577,"Based on the Tidal Island of Mersea, as such may be limited to operations on the Island only during spring high tides."
13,South Woodham CRT,SWC,0,11,Y,N,N,N,Y,Y,"The Fire Station, Ferrers Road, South Woodham Ferrers, Essex, CM3 5XH",51.643343,0.620335,CRV and equipment stored at the Fire Station where the CRT has a room to use.
13,Southend CRT,SNC,0,10,Y,N,N,N,Y,Y,"Ness Road, Shoeburyness, Southend, Essex, SS3 9QR",51.529208,0.782858,Excellent lookout facility at this station. Team can back up Canvey CRT when required.
13,Canvey CRT,CYC,0,4,Y,N,N,N,Y,N,"Currently no unit, running as an IRT but will become a BURT in FCG",0,0,Can back up Southend or vice-versa. From time to time Canvey CRT is requested to assist in London CG incidents where they are currently paged and tasked by THCG. * In FCG this needs to be highlighted - will LNCG have capability to page Canvey CRT with a
13,Medway CRT,MYC,0,11,Y,Y,Y,N,Y,Y,"Unit 4, Enterprise Business Centre, Whitewall Road, Rochester, Kent, ME2 4LQ",51.395216,0.51613,Restricted cliff rescue - can back up Sheppey CRT. From time to time Medway CRT is requested to assist in London CG incidents where they are currently paged and tasked by THCG. * In FCG this needs to be highlighted - will LNCG have capability to page Med
13,Sheppey CRT,SHC,0,11,Y,Y,Y,N,Y,Y,"Unit 12, New Road Industrial Estate, Grace Road, Grace Road, Sheerness, Kent ME12 1DB.",51.4361,0.751378,Can back up Medway CRT. From time to time Sheppey CRT may be requested to assist in London CG incidents where they are currently paged and tasked by THCG. * In FCG this needs to be highlighted - will LNCG have capability to page Sheppey CRT with a differ
13,Herne Bay CRT,HYC,0,11,Y,N,Y,N,Y,Y,"Unit 8&9, Westbrook Park, Sea Street, Herne Bay, Kent, CT6 8LF",51.363985,1.102115,Back up Margate or Sheppey Cliff Teams
15,Rye Bay,RBCRT,11,11,Y,Y,Y,N,Y,Y, ,0,0, 
15,Hastings,HACRT,11,11,Y,Y,N,N,Y,Y, ,0,0, 
15,Bexhill,BXCRT,6,6,Y,Y,N,Y,N,Y, ,0,0,BACK UP HASTINGS FOR CLIFF/ROPE RESCUE
15,Eastbourne,EBCRT,11,11,Y,Y,N,N,Y,Y,"The Stables, Beachy Head",50.753487,0.248668, 
