Occurrence,Lattitude,Longitude,Location,IncidentSu,Vessel,Web,Notes
25/07/2013,51.45932,0.330786,"Location: Northfleet Hope Container Terminal, Tilburyness, River Thames, England.",Contact made by oil product/chemical tanker Apollo with quayside,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/contact-made-by-oil-product-chemical-tanker-apollo-with-quayside-at-northfleet-hope-container-terminal-on-the-river-thames-england, 
05/08/2013,60.195,-1.147167,"Location: Grounding on Skibby Baas, sinking at entrance to Lerwick Harbour, Scotland.",Grounding of twin-rig stern trawler Prospect and subsequent sinking while under tow,Fishing vessel,https://www.gov.uk/maib-reports/grounding-of-twin-rig-stern-trawler-prospect-on-skibby-baas-and-subsequent-sinking-while-under-tow-at-entrance-to-lerwick-harbour-scotland, 
17/09/2013,50.664579,-1.708889,"Location: Christchurch Bay, England.",Capsize and sinking of beam trawler Sally Jane,Fishing vessel,https://www.gov.uk/maib-reports/capsize-and-sinking-of-beam-trawler-sally-jane-in-christchurch-bay-england, 
18/09/2013,50.961217,1.323854,Location: Varne Bank in the Dover Strait off the south east coast of England.,Grounding of oil/chemical tanker Ovit,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/grounding-of-oil-chemical-tanker-ovit-on-the-varne-bank-in-the-dover-strait-off-the-south-east-coast-of-england, 
14/10/2013,53.409957,-3.014562,"Location: Seacombe ferry terminal, River Mersey, England.",Person overboard from passenger ferry Snowdrop resulting in recovery of a young child from the water,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/person-overboard-from-passenger-ferry-snowdrop-at-seacombe-ferry-terminal-river-mersey-england-resulting-in-recovery-of-a-young-child-from-the-water, 
09/11/2013,54.9962,-1.451862,"Location: Berthed at Royal Quays marina, North Shields, England.","Person overboard while climbing on stern trawler New Dawn to access stern trawler Horizon II, with loss of 1 life",Fishing vessel,https://www.gov.uk/maib-reports/person-overboard-while-climbing-on-stern-trawler-new-dawn-to-access-stern-trawler-horizon-ii-berth-at-royal-quays-marina-north-shields-england-with-loss-of-1-life, 
19/11/2013,57.387594,-7.171866,"Location: 1 mile south-east of Wiay Island, Outer Hebrides, Scotland.",Accident while emptying catch from dredges on scallop dredger Wanderer II with 1 person injured,Fishing vessel,https://www.gov.uk/maib-reports/accident-while-emptying-catch-from-dredges-on-scallop-dredger-wanderer-ii-with-1-person-injured, 
04/12/2013,49.999243,-5.151241,"Location: Near Cadgwith, Cornwall, England.",Person overboard from small open/recreational fishing boat Amy Jane with loss of 1 life,Fishing vessel and 1 others,https://www.gov.uk/maib-reports/person-overboard-from-small-open-boat-used-as-a-recreational-fishing-boat-amy-jane-near-cadgwith-cornwall-england-with-loss-of-1-life, 
11/12/2013,51.224036,1.514288,"Location: South-west lane of the Dover Strait Traffic Separation Scheme, off the south east coast of England.",Collision between general cargo vessel Paula C and bulk carrier Darya Gayatri,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/collision-between-general-cargo-vessel-paula-c-and-bulk-carrier-darya-gayatri-in-the-dover-strait-off-the-south-east-coast-of-england, 
18/12/2013,53.606632,-0.716182,"Location: Groveport, River Trent, England.",Person overboard during mooring operation on general cargo vessel Sea Melody with loss of 1 life,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/person-overboard-during-mooring-operation-on-general-cargo-vessel-sea-melody-at-groveport-on-the-river-trent-england-with-loss-of-1-life, 
20/12/2013,53.742082,-0.298273,"Location: Alexandra Dock, Hull, England.",Failure of controllable pitch propeller of chemical tanker Key Bora resulting in contact with jetty,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/failure-of-the-controllable-pitch-propeller-of-chemical-tanker-key-bora-resulting-in-heavy-contact-with-jetty-at-alexandra-dock-hull-england, 
03/01/2014,52.916716,1.69996,"Location: Haisborough Sand off Norfolk, England",Grounding of liquefied gas carrier Navigator Scorpio,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/grounding-of-liquefied-gas-carrier-navigator-scorpio-on-haisborough-sand-off-norfolk-england, 
11/01/2014,50.880616,1.027115,"Location: South-west traffic lane of Dover Strait Traffic Separation Scheme, off the south east coast of England.","Collision between multipurpose cargo vessel Rickmers Dubai with a crane barge, Walcon Wizard, being towed by tug Kingston",Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/collision-between-multipurpose-dry-cargo-vessel-rickmers-dubai-with-crane-barge-walcon-wizard-being-towed-by-tug-kingston-in-the-dover-strait-off-the-south-east-coast-of-england, 
14/01/2014,52.332917,1.880556,"Location: 11nm off Lowestoft, England.",Fire and sinking of passenger transfer catamaran ECC Topaz during engine trials,Merchant vessel under 100 gross tons,https://www.gov.uk/maib-reports/fire-and-sinking-of-passenger-transfer-catamaran-ecc-topaz-during-engine-trials, 
15/01/2014,54.485291,-0.612102,"Locations: Berthed at Whitby, England.","Carbon monoxide poisoning on scallop dredger Eshcol, used as overnight accommodation, with loss of 2 lives",Fishing vessel,https://www.gov.uk/maib-reports/carbon-monoxide-poisoning-on-scallop-dredger-eshcol-while-used-as-overnight-accommodation-at-whitby-england-with-loss-of-2-lives, 
22/01/2014,55.327457,-5.309143,"Location: Off Cambeltown, Scotland.",Collision between stern trawlers Karen and Sapphire Stone resulting in Karen sinking,Fishing vessel,https://www.gov.uk/maib-reports/collision-between-stern-trawlers-karen-and-sapphire-stone-off-cambeltown-scotland-resulting-in-the-loss-of-karen, 
09/03/2014,49.894425,-4.966172,"Location: 11.6nm off Lizard Point, Cornwall, England",Flooding and abandonment of general cargo ship Sea Breeze,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/flooding-and-abandonment-of-general-cargo-ship-sea-breeze, 
10/03/2014,52.513812,1.761269,"Location: Off Lowestoft, England.",Capsize of an open speedboat with loss of 3 lives,Recreational craft - power,https://www.gov.uk/maib-reports/capsize-of-an-open-speedboat-being-used-to-recover-longline-fishing-gear-off-lowestoft-england-with-loss-of-3-lives, 
25/03/2014,60.298036,-1.55979,"Location: West Burra Firth, Shetland Islands, Scotland.",Contact made by scallop dredger Diamond with rock resulting in vessel sinking with loss of 1 life,Fishing vessel,https://www.gov.uk/maib-reports/contact-made-by-scallop-dredger-diamond-with-rocks-resulting-in-vessel-sinking-with-loss-of-1-life, 
30/03/2014,52.978756,-4.513024,"Location: 3 miles north-east of Porth Dinllaen, north Wales.",Accident to skipper of scallop dredger Ronan Orla with loss of 1 life,Fishing vessel,https://www.gov.uk/maib-reports/accident-to-skipper-of-scallop-dredger-ronan-orla-with-loss-of-1-life, 
09/04/2014,50.885773,-1.397308,"Location: Southampton, UK",Accidental release of lifeboat on Nagato Reefer with 1 person injured,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/accidental-release-of-lifeboat-on-nagato-reefer-with-1-person-injured, 
30/04/2014,58.610143,-3.548723,"Location: Scrabster Harbour, Scotland.",Contact by stern trawler Shalimar with quay and subsequent sinking of vessel,Fishing vessel,https://www.gov.uk/maib-reports/contact-by-stern-trawler-shalimar-with-quay-at-scrabster-harbour-scotland-subsequently-resulting-in-the-vessel-sinking, 
01/05/2014,51.109359,1.34621,"Location: On the approach to, and subsequently alongside, the port of Dover, UK.",Fire on board RoPax ferry Dieppe Seaways,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/fire-on-board-ropax-ferry-dieppe-seaways, 
13/05/2014,58.009425,-5.453107,"Location: West of Tanera Beg, Scotland.",Person overboard from creeler Barnacle III with loss of 1 life,Fishing vessel,https://www.gov.uk/maib-reports/person-overboard-from-creeler-barnacle-iii-off-tanera-beg-scotland-with-loss-of-1-life, 
20/05/2014,56.776501,-1.097129,"Location: Found approximately 44nm offshore in the North Sea off Aberdeenshire, Scotland.",Disappearance and rescue of small fishing vessel Water-rail,Fishing vessel,https://www.gov.uk/maib-reports/disappearance-and-rescue-of-small-fishing-vessel-water-rail-in-the-north-sea, 
04/06/2014,51.497326,-0.030363,"Location: Tower Bridge on the River Thames, London, England.",Contact made by passenger vessel Millennium Diamond with Tower Bridge,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/contact-made-by-passenger-vessel-millennium-diamond-with-tower-bridge, 
08/06/2014,51.93102,1.483505,"Location: 7 miles off the coast of Felixstowe, England",Collision between dredger Shoreway and yacht Orca resulting in the yacht sinking with loss of 1 life,Merchant vessel 100 gross tons or over and 1 others,https://www.gov.uk/maib-reports/collision-between-dredger-shoreway-and-yacht-orca-resulting-in-the-yacht-sinking-with-loss-of-1-life, 
18/06/2014,50.885773,-1.397308,"Location: Berthed in Southampton, UK.",Chief officer fell from a hatch cover during cargo operations on board general cargo ship Norjan resulting in injury,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/chief-officer-fell-from-a-hatch-cover-during-cargo-operations-on-board-general-cargo-ship-norjan-resulting-in-injury, 
14/07/2014,50.3145,-1.496,"Location: Approaches to St Peter Port, Guernsey",Grounding and flooding of ro-ro ferry Commodore Clipper,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/grounding-and-flooding-of-ro-ro-ferry-commodore-clipper, 
16/07/2014,50.681661,-1.949355,"Location: Poole, England",Contact made by passenger ferry Barfleur with chain of chain ferry Bramble Bush Bay,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/contact-made-by-passenger-ferry-barfleur-with-chain-of-chain-ferry-bramble-bush-bay, 
17/07/2014,51.509868,-0.110927,"Location: King's Reach, River Thames, London, England",Collision between passenger vessel Millennium Time and motor tug Redoubt,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/collision-between-passenger-vessel-millennium-time-and-motor-tug-redoubt, 
18/07/2014,50.734678,-1.213037,"Location: Fishbourne ferry terminal, Isle of Wight",Collapse of a mezzanine deck on board the ro-ro passenger ferry St Helen,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/collapse-of-a-mezzanine-deck-on-board-the-ro-ro-passenger-ferry-st-helen, 
21/12/2014,52.007833,2.72504,"Location: North Hinder Junction, North Sea, UK",Collision between chemical tanker Orakai and beam trawler Margriet,Merchant vessel 100 gross tons or over and 1 others,https://www.gov.uk/maib-reports/collision-between-chemical-tanker-orakai-and-beam-trawler-margriet, 
02/03/2015,51.698723,-5.080306,Urgent safety lessons on the elongation and snap-back characteristics of mooring lines,Safety warning issued after mooring line failure on board LNG tanker Zarga resulted in serious injury to a deck officer,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/safety-warning-issued-after-mooring-line-failure-on-board-lng-tanker-zarga-resulted-in-serious-injury-to-a-deck-officer, 
<Null>,0,0, , , , , 
<Null>,0,0, , , , , 
<Null>,0,0, , , , , 
<Null>,0,0, , , , , 
