Equipment_ID,Equipment1,Current_Location,Current_Lat,Current__long,Allocated,Allocated_Lat,Allocate_Long,ON_Number,Lifeboat_No,MMSI,Class,Launch_Method,Product_ID,Model_ID,On_Service
OB02004854,ON1295 Tamar ALB Enid Collett,Shoreham Harbour ALB,50.8304,-0.249,Shoreham Harbour ALB,50.8304,-0.249,ON1295,16-15,235050721,Tamar,Slipway Boat,SlipwayBoat,MK1Tamar,23/11/2010
OB02016856,D-Class ILB Joan Woodland,Shoreham Harbour ILB D,50.8304,-0.249,Shoreham Harbour ILB D,50.8304,-0.249, ,D-784,235108837,D-Class,IB1 variant,IB1,MK2IB1, 
OB02018835,B-Class A85 Renee Sherman,Littlehampton ILB B,50.80803,-0.544483,Littlehampton ILB B,50.80802967,-0.544482762, ,B-891, ,B-Class,Atlantic 85,Atlantic85,MK2SIMSAtlantic85,01/01/2016
OB02016071,D-Class ILB Arthur Hamilton,Littlehampton ILB D,50.80803,-0.544483, , , , ,D-774,235107673,D-Class,IB1 variant,IB1,MK2IB1,01/10/2014
OB02002188,ON1146 Tyne ALB Voluntary Worker,Selsey ALB,50.727136,-0.778702,Selsey ALB,50.72713644,-0.778701948,ON1146,47-031,232003309,Tyne,Slipway Boat,SlipwayBoat,MK1Tyne,01/06/1988
OB02004850,D-Class ILB Betty and Thomas Moore,Selsey ILB D,50.727136,-0.778702,Selsey ILB D,50.72713644,-0.778701948, ,D-691,235102941,D-Class,IB1 variant,IB1,MK2IB1,01/01/2007
OB02004776,B-Class A85 Norma Ethel Vinall,Hayling Island ILB B,50.781624,-0.936681, , , , ,B-825,235098753,B-Class,Atlantic 85,Atlantic85,MK1Atlantic85,20/05/2008
OB02006410,B-Class A85 Norma T,Portsmouth ILB B,50.795226,-1.029811,Portsmouth ILB B,50.7952262,-1.029810712, ,B-846,235108851,B-Class,Atlantic 85,Atlantic85,MK2SIMSAtlantic85,24/10/2010
OB02006059,D-Class ILB Brian's Pride,Portsmouth ILB D,50.795226,-1.029811,Portsmouth ILB D,50.7952262,-1.029810712, ,D-716,235091474,D-Class,IB1 variant,IB1,MK2IB1,01/07/2009
OB02009291,B-Class A85 Max Walls,Calshot ILB B,50.820195,-1.308302,Calshot ILB B,50.82019519,-1.308301757, ,B-860,235091473,B-Class,Atlantic 85,Atlantic85,MK2SIMSAtlantic85,30/04/2012
OB02007409,D-Class ILB Willett,Calshot ILB D,50.820195,-1.308302,Calshot ILB D,50.82019519,-1.308301757, ,D-748,235091475,D-Class,IB1 variant,IB1,MK2IB1,01/11/2011
OB02016841,B-Class A85 David Bradley,Lymington ILB B,50.7539,-1.5291,Lymington ILB B,50.7539,-1.5291, ,B-882,235108808,B-Class,Atlantic 85,Atlantic85,MK2SIMSAtlantic85, 
OB02004336,ON1286 Tamar ALB Frank and Anne Wilkinson,Bembridge ALB,50.690202,-1.07048, , , ,ON1286,16-Jun,235030386,Tamar,Afloat Boat,AfloatBoat,MK1Tamar,01/04/2007
OB02004856,ON1297 Tamar ALB Alfred Albert Williams,Bembridge ALB,50.690202,-1.07048,Bembridge ALB,50.69020183,-1.070480015,ON1297,16-17,235050723,Tamar,Slipway Boat,SlipwayBoat,MK1Tamar,15/06/2010
OB02016850,D-Class ILB Norman Harvey,Bembridge ILB D,50.690202,-1.07048,Bembridge ILB D,50.69020183,-1.070480015, ,D-778,235108812,D-Class,IB1 variant,IB1,MK2IB1, 
OB02009290,B-Class A85 Sheena Louise,Cowes ILB B,50.764801,-1.298099,Cowes ILB B,50.76480058,-1.298098568, ,B-859,235091472,B-Class,Atlantic 85,Atlantic85,MK1Atlantic85,08/06/2012
OB02002741,ON1249 Severn ALB Eric and Susan Hiscock (Wanderer),Yarmouth (IOW) ALB,50.706162,-1.50044,Yarmouth (IOW) ALB,50.706162,-1.50044,ON1249,17-25,232004401,Severn,Afloat Boat,AfloatBoat,MK2MTUSevern,30/06/2000
OB02004191,B-Class A85 Mudeford Servant,Mudeford ILB B,50.724319,-1.742065,Mudeford ILB B,50.72431921,-1.742064948, ,B-806,235087097,B-Class,Atlantic 85,Atlantic85,MK2SIMSAtlantic85,01/09/2006
OB02005000,B-Class A85 Sgt Bob Martin,Poole ILB B,50.712714,-1.991972,Poole ILB B,50.71271382,-1.991971959, ,B-826,235102921,B-Class,Atlantic 85,Atlantic85,MK1Atlantic85,01/09/2008
OB02026568,ON1320 Shannon ALB George Thomas Lacy,Swanage ALB,50.607233,-1.946708,Swanage ALB,50.60723298,-1.946708258,ON1320,13-13,235106583,Shannon,Slipway Boat,SlipwayBoat,MK1Shannon,01/01/2016
OB02010342,D-Class ILB Phyl and Jack,Swanage ILB D,50.607233,-1.946708,Swanage ILB D,50.60723298,-1.946708258, ,D-752,235094315,D-Class,IB1 variant,IB1,MK2IB1,12/07/2012
OB02002734,ON1261 Severn ALB Ernest and Mabel,Weymouth ALB,50.607243,-2.450158,Weymouth ALB,50.60724258,-2.450158119,ON1261,17-32,235005118,Severn,Afloat Boat,AfloatBoat,MK1CATSevern,30/06/2002
OB02002793,B-Class A75 Braemar,Weymouth ILB B,50.607243,-2.450158, , , , ,B-774, ,B-Class,Atlantic 75,Atlantic75,MK1Atlantic75,15/05/2001
OB02008571,B-Class A85 Spirit of Loch Fyne,Lyme Regis ILB B,50.7204,-2.939,Lyme Regis ILB B,50.7204,-2.939, ,B-857,235090695,B-Class,Atlantic 85,Atlantic85,MK1Atlantic85,01/02/2012
OB02026396,ON1310 Shannon ALB R & J Welburn,Exmouth ALB,50.610982,-3.399015,Exmouth ALB,50.61098163,-3.399014832,ON1310,13-Mar,235101096,Shannon,Carriage Boat,CarriageBoat,MK1Shannon,01/01/2016
OB02024938,D-Class ILB George Bearman II,Exmouth ILB D,50.610982,-3.399015, , , , ,D-805, ,D-Class,IB1 variant,IB1,MK2IB1,19/01/2017
OB02005993,A-Class IRB No Name,Teignmouth ILB A,50.542167,-3.497902, , , , ,A-67, ,A-Class,Arancia New Zealand built,AranciaNZ,MK1Lifeguard,15/07/2009
OB02004169,B-Class A85 The Two Annes,Teignmouth ILB B,50.542167,-3.497902,Teignmouth ILB B,50.54216706,-3.49790169, ,B-809,235090693,B-Class,Atlantic 85,Atlantic85,MK2SIMSAtlantic85,01/06/2007
OB02002755,ON1255 Severn ALB Alec and Christina Dykes,Torbay ALB,50.399184,-3.505521,Torbay ALB,50.39918379,-3.505521489,ON1255,17-28,232004407,Severn,Afloat Boat,AfloatBoat,MK1CATSevern,30/06/2001
OB02016860,D-Class ILB Leslie and Mary Daws,Torbay ILB D,50.399184,-3.505521,Torbay ILB D,50.39918379,-3.505521489, ,D-788,235108994,D-Class,IB1 variant,IB1,MK2IB1, 
OB02005113,D-Class ILB Spirit of The Dart,Dart ILB D,50.354731,-3.578012,Dart ILB D,50.35473054,-3.578011884, ,D-702,235096948,D-Class,IB1 variant,IB1,MK2IB1,25/07/2008
